ma_xa,ten_xa,cum_han_du_bao,mua,so_mau_train,so_mau_test,nguong_kho_uot,mae_truoc,mae_sau,bias_truoc,bias_sau
48,"Xã Hải Lăng",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,3.99,4.12,-0.27,-0.38
49,"Xã Ba Lòng",D+1-3,"Mùa mưa (T9-T12)",255,111,3.9,7.45,8.53,3.19,4.07
49,"Xã Ba Lòng",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,4.89,5.67,-0.42,0.74
49,"Xã Ba Lòng",D+4-7,"Mùa mưa (T9-T12)",340,148,2.5,8.86,11.87,4.78,8.91
49,"Xã Ba Lòng",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,4.84,4.67,-1.16,-1.59
50,"Xã Triệu Phong",D+1-3,"Mùa mưa (T9-T12)",255,111,2.7,6.71,7.92,0.36,1.99
50,"Xã Triệu Phong",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,4.4,6.13,0.37,2.45
50,"Xã Triệu Phong",D+4-7,"Mùa mưa (T9-T12)",340,148,2.1,7.61,10.15,2.43,6.16
50,"Xã Triệu Phong",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,4.21,5.89,-0.14,1.5
51,"Phường Quảng Trị",D+1-3,"Mùa mưa (T9-T12)",255,111,2.7,6.71,7.92,0.36,1.99
51,"Phường Quảng Trị",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,4.4,6.13,0.37,2.45
51,"Phường Quảng Trị",D+4-7,"Mùa mưa (T9-T12)",340,148,2.1,7.61,10.15,2.43,6.16
51,"Phường Quảng Trị",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,4.21,5.89,-0.14,1.5
52,"Xã Nam Hải Lăng",D+1-3,"Mùa mưa (T9-T12)",255,111,2.7,8.13,9.16,-0.16,0.7
52,"Xã Nam Hải Lăng",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.51,5.51,1.65,3.75
52,"Xã Nam Hải Lăng",D+4-7,"Mùa mưa (T9-T12)",340,148,1.9,8.26,11.58,2.93,6.28
52,"Xã Nam Hải Lăng",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.25,3.86,0.95,1.48
53,"Xã Vĩnh Thủy",D+1-3,"Mùa mưa (T9-T12)",255,111,2.6,6.18,7.76,-1.08,1.61
